participant,document,eda_max,eda_min,eda_std,eda_mean,hr_max,hr_min,hr_std,hr_mean,bvp_max,bvp_min,bvp_std,bvp_mean,temp_max,temp_min,temp_std,temp_mean
P10,D4,0.237118,0.229427,0.001646388286666839,0.23419564618644237,105.93,79.2,8.252998680658235,90.22644067796607,7.13,-7.4,0.8200629557456863,0.004859639830508487,26.43,26.25,0.04603975301651255,26.348135593220302
P10,D5,0.240963,0.21661,0.005170660748305319,0.23206934068627486,127.18,112.57,4.517813290173572,122.33647058823533,8.55,-9.41,1.2450067791718928,0.010502450980392136,26.57,26.43,0.03200604558202677,26.496078431372567
P10,D6,0.29095,0.26147,0.00485711701065307,0.27858912581699263,107.38,86.6,6.946467181506696,98.21830065359481,335.96,-174.24,14.609449730402504,0.01820567810457516,27.09,26.97,0.027462842476901866,27.024640522875735
P10,D7,0.275569,0.257625,0.0030452467601097422,0.26795843959731425,107.7,93.67,2.6714818954780255,101.5554362416108,6.89,-6.57,0.9783327472424395,-0.002460151006711416,27.19,27.07,0.029530035735611505,27.118389261744788
P10,D8,0.274287,0.247371,0.007322053996452274,0.262059514218009,108.18,63.07,12.46114854698023,89.34222748815165,20.88,-9.44,1.1923755264724012,0.0013240521327014185,27.39,27.15,0.06103398821766114,27.255023696682528
P10,D9,0.271724,0.244808,0.0046464511984546444,0.2642853594420589,124.0,100.72,7.301366917562823,115.65703862660946,18.44,-16.68,1.6894706886193205,-0.0015162285407725568,27.63,27.39,0.06003540918588945,27.52021459227463
P10,D10,0.324274,0.256343,0.009122140777289765,0.2633310964912276,93.8,72.0,5.985228401870424,77.95263157894738,218.33,-147.41,20.245773378188147,-0.0024040570175439305,27.77,27.69,0.019063798015491826,27.72824561403506
P10,D11,0.262752,0.255062,0.0011796361224178983,0.25757375000000043,154.75,125.17,8.95932986705293,139.688,1.75,-1.56,0.5325540239839888,0.003787500000000001,27.79,27.75,0.01064391512991927,27.772799999999982
P10,D12,0.262752,0.252498,0.0024570600507955935,0.2579196891891889,132.95,119.93,3.599889387690071,124.2127027027027,7.71,-8.53,1.995734037977037,-0.013044763513513498,27.81,27.75,0.014472396712124564,27.77972972972971
P10,D13,0.26147,0.255062,0.001522157960989085,0.2586866041666665,139.93,131.23,3.1321080013171487,135.97625,5.26,-5.05,0.9508505996187574,6.835937499999192e-05,27.79,27.75,0.011387203865188307,27.777916666666723
P05,D1,0.457812,0.402702,0.015199542265539094,0.4259337876712328,122.93,93.8,10.0041029425397,105.03219178082195,4.78,-7.11,0.9796469488492853,-0.006645976027397262,26.47,26.21,0.07709355780412555,26.344246575342474
P05,D2,0.51036,0.407828,0.02062986290282036,0.4673625186567162,121.15,95.12,8.417348470219647,104.99805970149254,12.35,-16.97,1.9450217061992328,-0.0008558768656716637,26.75,26.51,0.0646584441933195,26.640746268656653
P05,D3,0.726957,0.64365,0.019711185626791083,0.687796951612904,116.37,91.3,9.069876393989912,104.32322580645167,8.29,-7.43,0.8170493894232118,0.0017351310483871077,27.35,27.05,0.07469664947516198,27.20241935483867
P05,D4,0.648777,0.542401,0.029954279743466223,0.5948938663366334,103.23,89.83,3.0781504508421618,93.93910891089108,2.88,-3.49,0.7163492458060082,0.0010705445544554537,27.53,27.37,0.03952261626303908,27.44950495049503
P05,D5,0.552654,0.486008,0.016643119331313985,0.5180178302469143,134.72,93.05,14.018574980193554,105.24827160493825,6.52,-5.08,0.8678591779499707,0.004729938271604938,27.61,27.51,0.02106516463694985,27.566543209876542
P05,D6,0.774446,0.496331,0.07508074185333172,0.6112929264705881,115.07,82.73,7.348895193205271,91.39241830065355,8.2,-17.44,1.1845827329710268,-0.009760008169934583,24.19,24.07,0.0271712632718734,24.132026143790792
P05,D7,0.542401,0.450123,0.02503712512232354,0.49496312407407433,111.13,81.05,8.916615191804429,97.63370370370372,166.21,-120.28,10.521669678116337,0.001844907407407484,24.57,24.21,0.10762760312823835,24.388518518518538
P05,D8,0.453967,0.351436,0.02901394456952584,0.38703106571428536,101.1,92.55,2.197174798890641,96.4289714285714,8.3,-6.73,0.8404720850831163,0.0003946428571428552,25.17,24.61,0.14940896160911896,24.881771428571497
P05,D9,0.420645,0.339902,0.022426202678696796,0.3624849460227276,105.1,94.87,3.070111973929864,99.29318181818184,138.45,-113.87,7.8404179027118674,-0.0017196377840909202,25.67,25.19,0.13549164276067052,25.428522727272785
P05,D10,0.500107,0.455249,0.010349885311798786,0.47882471028037393,113.48,77.27,10.453015314536373,92.48971962616822,8.34,-7.08,0.8773610551751337,-0.002168516355140184,26.01,25.85,0.04175335958479357,25.927102803738222
P05,D11,0.455249,0.428335,0.005728316955368667,0.44191839473684225,121.95,114.05,2.4021293452228285,118.97552631578944,2.2,-2.81,0.6236352754309931,0.010896381578947378,26.05,25.99,0.015295395097498533,26.022105263157986
P05,D12,0.438588,0.412955,0.007346820206881943,0.42388214655172385,109.05,107.37,0.5537745535483153,108.18655172413794,1.89,-1.82,0.5571117516097809,0.0024838362068965456,26.09,26.03,0.0148919144317401,26.06206896551727
P05,D13,0.4168,0.360408,0.015621733338457363,0.387658060240964,122.4,109.25,3.765140597673192,116.5677108433735,3.49,-3.06,0.6676998603764592,-0.0005308734939759042,26.21,26.09,0.030041163717305495,26.148795180722864
P05,D0,1.447307,0.4168,0.11662673030918581,0.5382005034013613,98.8,78.55,6.432811971681879,90.60857142857142,4.26,-5.05,0.7225564259325662,0.0064200680272109055,25.99,24.99,0.28249889430311287,25.540408163265315
P01,D0,0.214034,0.158923,0.01007023147387995,0.1982791408296947,140.32,57.7,25.769025924255683,91.49794759825322,328.28,-111.02,10.144843599199394,-0.0005376637554584696,25.29,24.31,0.27703004758792205,24.862751091703007
P01,D1,0.239667,0.190964,0.008860647598269052,0.21777717931034504,90.25,71.57,6.119185622449472,81.84751724137936,351.33,-250.0,25.176311907528714,0.0005334051724138679,25.79,25.37,0.11266666067585558,25.578620689655093
P01,D2,0.265299,0.228132,0.009882465824141345,0.24897366764705914,86.4,75.67,2.495919246521021,78.57117647058823,23.18,-10.71,2.0950632536703018,0.004323529411764688,26.07,25.83,0.0640133813878248,25.947529411764712
P01,D3,0.308875,0.251201,0.015885652219771566,0.27953294545454604,154.37,89.67,18.574856965782914,123.99745454545452,2.4,-2.44,0.6419361454124541,-0.000685369318181815,27.03,26.45,0.1616175795219973,26.78240909090919
P01,D4,0.420378,0.298622,0.011731920209680871,0.3197021143410856,168.12,95.17,29.232201136708742,134.7438759689922,384.41,-220.75,21.58424416667347,0.0010077519379843823,27.21,27.03,0.04501884906658817,27.129302325581374
P01,D5,0.363986,0.33579,0.005178105724838684,0.34864001991150345,115.67,93.72,7.676850386610847,106.28946902654864,23.43,-17.79,2.23481988403245,0.0018888274336283175,27.33,27.21,0.029541027925695105,27.262831858407218
P01,D6,0.188668,0.079729,0.014615842104897516,0.12436972081218228,155.67,89.65,20.048475173704237,127.63746192893399,223.07,-164.16,12.227078746308534,-0.001703680203045561,28.03,27.83,0.050677108237719384,27.920253807106867
P01,D7,0.27582,0.128431,0.02404166212634374,0.19411674054054093,151.9,86.8,23.129451039481655,110.37221621621622,413.43,-143.64,21.19087934061525,0.0006486486486486636,28.11,27.99,0.02415986208036411,28.05718918918905
P01,D8,0.255313,0.187386,0.010118570928368563,0.2252322650709209,169.83,99.53,23.950072487941103,122.70159574468093,284.74,-170.84,12.30772600140725,0.003943927304964585,28.35,28.07,0.0766103688903838,28.205248226950562
P01,D9,0.747463,0.120741,0.03411227287582919,0.1772056703703684,129.45,78.95,11.913605705377696,105.26637037037034,305.6,-183.84,17.300163296472377,0.0006313657407407841,28.43,28.31,0.023130367523255924,28.37133333333319
P01,D10,0.180978,0.119459,0.014261369617182355,0.16113332371794867,81.45,67.47,4.665921672968273,73.67551282051282,401.68,-125.91,21.392159530802147,-0.0009955929487179065,28.47,28.41,0.015547819315408183,28.430256410256433
P01,D11,0.234807,0.068194,0.031769050352924225,0.15299141836734687,82.85,72.75,2.669581564832309,79.39265306122451,237.77,-182.47,26.402666372326333,0.005676020408163152,28.53,28.45,0.01737209368304624,28.49551020408166
P01,D12,0.16688,0.105361,0.014845492952589565,0.12628184146341462,84.08,69.42,4.355575414927626,72.9868292682927,45.78,-23.72,4.970798916251981,-0.02827743902439025,28.59,28.53,0.017459471892386152,28.56341463414639
P01,D13,0.16688,0.105361,0.014845492952589565,0.12628184146341462,84.08,69.42,4.355575414927626,72.9868292682927,45.78,-23.72,4.970798916251981,-0.02827743902439025,28.59,28.53,0.017459471892386152,28.56341463414639
P02,D0,0.996101,0.282228,0.1131316523819981,0.45162255666666634,98.85,70.37,9.818728212637653,87.03133333333335,64.87,-17.87,2.9333178100846653,0.025280208333333245,24.55,24.43,0.02534349443293859,24.49366666666653
P02,D1,0.429616,0.198921,0.043584689151642944,0.32574670744680917,123.77,98.87,8.81112463510531,113.01354609929076,71.82,-45.67,4.858180154194702,0.003359929078014162,24.77,24.49,0.08357156027235571,24.613120567375873
P02,D2,0.452686,0.216864,0.032453588983997556,0.27356364795918414,117.5,100.5,5.154087521374938,106.68061224489792,201.69,-154.27,15.512846705569425,0.0007924107142855793,25.21,24.91,0.08417792504497941,25.044897959183597
P02,D3,0.451404,0.23737,0.03781438144888053,0.32429598374999946,114.2,87.75,7.577680757714007,102.65025,299.14,-252.62,21.92953513422061,0.010128906249999852,25.91,25.47,0.11733165982801676,25.699300000000004
P02,D4,0.306579,0.179697,0.024229299700356845,0.22746409793814476,125.95,99.83,8.079479431658822,114.10639175257732,17.36,-7.85,1.7565791687878196,-0.001021262886597945,26.21,25.93,0.08071789561706241,26.07061855670102
P02,D5,0.311705,0.169443,0.02687103518287574,0.2727073981481482,141.8,100.75,9.5474832081134,116.62787037037039,95.39,-50.72,5.428397003229445,-0.0028284143518518944,26.65,26.31,0.08786854767511326,26.479166666666643
P02,D6,4.204166,1.584741,0.5486607028357153,2.7546351223776226,112.98,78.55,12.198779021802617,97.57524475524473,305.3,-130.6,16.43709134213641,-0.01799606643356639,26.99,26.93,0.014828903898285173,26.95265734265744
P02,D7,5.080287,0.525808,0.5416507980959873,1.546639231617645,119.92,82.23,12.89441737958034,96.93316176470587,264.98,-242.55,16.025928445260234,0.00515854779411755,27.01,26.93,0.01736891259372759,26.974411764705717
P02,D8,2.026907,0.495049,0.4211933260668146,1.208323806818181,160.6,87.73,24.042226250559985,114.45752525252522,216.15,-193.55,12.318512707304627,-0.0007346906565656239,27.13,26.99,0.03320070923094129,27.04772727272726
P02,D9,2.797672,0.796234,0.4429163299875137,1.796365141304349,108.68,90.72,4.9591893128405955,98.4173043478261,172.46,-97.44,8.76200622359678,-0.021541440217391405,27.27,27.13,0.02676778230384186,27.21278260869528
P02,D10,2.214026,0.997551,0.37967277543456496,1.568961510869565,118.25,104.08,3.8350867634372734,109.64630434782607,61.83,-34.13,5.4309058540919075,-0.008763586956521786,27.43,27.37,0.015171467887822154,27.395652173912975
P02,D11,3.29002,2.370886,0.282639402445616,2.8424687840909084,125.78,108.72,5.5690858405637,116.56136363636364,26.37,-30.32,4.272566506865702,0.013735795454545558,27.45,27.41,0.014362088722622495,27.42772727272727
P02,D12,3.422029,2.649201,0.19244508060077764,2.869235677419356,137.7,116.22,6.582742083154505,130.03,200.16,-150.17,32.01418108655357,-0.0016733870967739334,27.49,27.43,0.017441972281329522,27.464193548387026
